,ALRT_2,ALRT_8,ALRT_9,ULRT_2,ULRT_8,ULRT_9,UT_7,UT_8,UT_9,TAS-2,TAS-4,TAS-6,TAX-2,TAX-4,TAX-6,TUT-1,TUT-4,TUT-21
Aplasma,0.0012,0.0009,0.0011,0.2755,0.075,0.1184,0.3324,0.5992,0.4652,0.0019,0.0021,0.0016,0.2989,0.1167,0.0415,0.3991,0.372,0.4476
Cplasma,0.0001,0,0,0.0005,0.0023,0.0383,0.0064,0.013,0.0127,0.0002,0.0002,0.0002,0.0015,0.0007,0.0004,0.1764,0.2398,0.0126
Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Leptospirillum,0.0015,0.0016,0.0016,0.0731,0.0832,0.1478,0.0495,0.0302,0.0295,0.0031,0.0028,0.0028,0.0528,0.2701,0.0092,0.1441,0.1138,0.0668
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;uncultured;uncultured_ge,0.0054,0.0061,0.0057,0.0093,0.0083,0.0143,0.049,0.0176,0.0443,0.0063,0.0052,0.0039,0.0184,0.0218,0.0468,0.0841,0.0696,0.0476
Eplasma,0.0001,0.0001,0,0.0005,0.0003,0.0012,0.0258,0.0575,0.0131,0.0003,0.0004,0.0002,0.0016,0.0346,0.0002,0.0438,0.0329,0.1112
Gplasma,0.0001,0.0001,0,0.0001,0.0015,0.0028,0.0658,0.0622,0.032,0.0002,0,0,0.0005,0.0004,0,0.019,0.0376,0.0161
Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XVII;Sulfobacillus,0.0013,0.0011,0.0007,0.0058,0.01,0.0191,0.1894,0.0754,0.0721,0.0005,0.0004,0.0003,0.0013,0.0035,0.0052,0.0173,0.0258,0.0133
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadales_Incertae_Sedis;Acidibacter,0.0289,0.0244,0.023,0.0423,0.0475,0.0144,0.0567,0.0137,0.0288,0.0243,0.0257,0.0191,0.0564,0.0083,0.0313,0.0157,0.0067,0.031
Bacteria;Proteobacteria;Gammaproteobacteria;Acidithiobacillales;RCP1-48;RCP1-48_ge,0.0001,0,0.0001,0,0,0.0001,0,0,0,0.0005,0.0003,0.0004,0.0002,0.0006,0.0004,0.0138,0.0009,0.0123
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiales_unclassified;Other,0.0027,0.0033,0.0031,0.0016,0.0032,0.0036,0.0545,0.0618,0.0314,0.0022,0.0014,0.0013,0.0034,0.0007,0.0009,0.009,0.0125,0.046
Bacteria;Chloroflexi;JG37-AG-4;JG37-AG-4_or;JG37-AG-4_fa;JG37-AG-4_ge,0.0004,0.0004,0.0006,0.0008,0.0008,0.0017,0.0176,0.0015,0.0041,0.0003,0.0003,0.0003,0.0003,0.0005,0.0002,0.0085,0.0066,0.0109
Bacteria;Proteobacteria;Gammaproteobacteria;Acidiferrobacterales;Acidiferrobacteraceae;Acidiferrobacter,0.0005,0.0005,0.0003,0.0004,0.0005,0.0017,0.0003,0.0005,0.0002,0.0005,0.0003,0.0003,0.0004,0.0403,0.0004,0.0051,0.0069,0.0157
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Terrestrial_Miscellaneous_Gp(TMEG);Terrestrial_Miscellaneous_Gp(TMEG)_ge,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0001,0,0.0049,0.0009,0.0014
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae;Ferroplasma,0,0,0,0,0.0001,0,0.0338,0.0067,0.0005,0,0,0,0,0.0001,0,0.0042,0.018,0.0003
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Other,0.0007,0.0014,0.0004,0.0087,0.0038,0.0145,0,0.0001,0.0004,0.001,0.0008,0.0008,0.0318,0.0004,0.0202,0.0033,0.0071,0.0034
Bacteria;Bacteria_unclassified;Bacteria_unclassified;Bacteria_unclassified;Bacteria_unclassified;Other,0.007,0.0074,0.0091,0.0034,0.0019,0.0013,0.005,0.0013,0.0104,0.0089,0.012,0.0113,0.0307,0.0018,0.0013,0.0026,0.0041,0.0054
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;uncultured,0.0052,0.0061,0.0083,0.0095,0.0079,0.0122,0,0.0011,0.0093,0.0088,0.0063,0.0105,0.0129,0.0004,0.0026,0.002,0.0002,0.0107
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium,0.0004,0.0002,0.0002,0.0061,0.0082,0.0208,0,0.0001,0,0.0004,0.0003,0.0004,0.0455,0.0009,0.0009,0.0017,0.001,0.0003
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;BSLdp215;BSLdp215_ge,0,0,0,0,0,0,0,0,0.0007,0.0001,0,0,0,0,0,0.0017,0.0002,0.0001
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Thermoplasmatales_unclassified;Other,0,0,0.0001,0.0004,0,0.0002,0,0,0.0102,0.0001,0.0001,0,0.0002,0.0001,0.0002,0.0016,0.0009,0.0074
