sampleID	year	layer	lay.abb
alrt2	3	remediate_top	ALRT
alrt8	3	remediate_top	ALRT
alrt9	3	remediate_top	ALRT
TAS2	4	remediate_top	ALRT
TAS4	4	remediate_top	ALRT
TAS6	4	remediate_top	ALRT
TAX2	4	remediate_inner	ULRT
TAX4	4	remediate_inner	ULRT
TAX6	4	remediate_inner	ULRT
TUT1	4	contaminated	UT
TUT21	4	contaminated	UT
TUT4	4	contaminated	UT
ulrt2	3	remediate_inner	ULRT
ulrt8	3	remediate_inner	ULRT
ulrt9	3	remediate_inner	ULRT
ut7	3	contaminated	UT
ut8	3	contaminated	UT
ut9	3	contaminated	UT
